"timeMillisSpent","score"
45,"0hard/-2660096soft"
47,"0hard/-2652329soft"
47,"0hard/-2643070soft"
180,"0hard/-2642709soft"
191,"0hard/-2637998soft"
555,"0hard/-2635968soft"
688,"0hard/-2635840soft"
688,"0hard/-2635008soft"
688,"0hard/-2633907soft"
1417,"0hard/-2630568soft"
2648,"0hard/-2630515soft"
2648,"0hard/-2621012soft"
13351,"0hard/-2617696soft"
19199,"0hard/-2616055soft"
20097,"0hard/-2612572soft"
23603,"0hard/-2612338soft"
28356,"0hard/-2607399soft"
28356,"0hard/-2607388soft"
32641,"0hard/-2605960soft"
34546,"0hard/-2605197soft"
34843,"0hard/-2604099soft"
35055,"0hard/-2603374soft"
39460,"0hard/-2599722soft"
42127,"0hard/-2598470soft"
48159,"0hard/-2597955soft"
48309,"0hard/-2596791soft"
49533,"0hard/-2594636soft"
50050,"0hard/-2593283soft"
57393,"0hard/-2589929soft"
59364,"0hard/-2586793soft"
64636,"0hard/-2585325soft"
64665,"0hard/-2583952soft"
66607,"0hard/-2583730soft"
69193,"0hard/-2583242soft"
71681,"0hard/-2572961soft"
