"timeMillisSpent","score"
9,"0hard/-4238395soft"
20,"0hard/-4236843soft"
26,"0hard/-4236817soft"
34,"0hard/-4229709soft"
42,"0hard/-4229448soft"
42,"0hard/-4209311soft"
47,"0hard/-4208006soft"
53,"0hard/-4207975soft"
61,"0hard/-4207791soft"
66,"0hard/-4207773soft"
74,"0hard/-4207569soft"
79,"0hard/-4205378soft"
80,"0hard/-4173009soft"
84,"0hard/-4172988soft"
86,"0hard/-4165905soft"
91,"0hard/-4145683soft"
97,"0hard/-4144889soft"
103,"0hard/-4144870soft"
112,"0hard/-4144656soft"
125,"0hard/-4144326soft"
132,"0hard/-4144042soft"
155,"0hard/-4143652soft"
159,"0hard/-4111308soft"
164,"0hard/-4111282soft"
175,"0hard/-4083913soft"
183,"0hard/-4083757soft"
199,"0hard/-4083587soft"
199,"0hard/-4051243soft"
204,"0hard/-4051198soft"
209,"0hard/-4023427soft"
216,"0hard/-4023215soft"
222,"0hard/-4022930soft"
231,"0hard/-4018683soft"
237,"0hard/-4018521soft"
246,"0hard/-4015461soft"
255,"0hard/-4015282soft"
266,"0hard/-4015192soft"
288,"0hard/-4014625soft"
294,"0hard/-4014622soft"
296,"0hard/-3982304soft"
301,"0hard/-3982020soft"
320,"0hard/-3977245soft"
331,"0hard/-3976422soft"
345,"0hard/-3976360soft"
354,"0hard/-3971459soft"
362,"0hard/-3971165soft"
364,"0hard/-3938800soft"
368,"0hard/-3938707soft"
371,"0hard/-3931899soft"
377,"0hard/-3931873soft"
382,"0hard/-3931250soft"
394,"0hard/-3931178soft"
399,"0hard/-3930982soft"
409,"0hard/-3930568soft"
415,"0hard/-3926561soft"
415,"0hard/-3894217soft"
418,"0hard/-3866811soft"
424,"0hard/-3866798soft"
433,"0hard/-3866337soft"
433,"0hard/-3833993soft"
448,"0hard/-3833871soft"
449,"0hard/-3801553soft"
474,"0hard/-3801547soft"
496,"0hard/-3787801soft"
