"timeMillisSpent","score"
923,"0hard/-11203958soft"
941,"0hard/-11192461soft"
954,"0hard/-11180117soft"
968,"0hard/-11160039soft"
982,"0hard/-11144731soft"
996,"0hard/-11133920soft"
1011,"0hard/-11127215soft"
1026,"0hard/-11116918soft"
1040,"0hard/-11097485soft"
1054,"0hard/-11086810soft"
1068,"0hard/-11079723soft"
1082,"0hard/-11064490soft"
1097,"0hard/-11056743soft"
1111,"0hard/-11039273soft"
1125,"0hard/-11030163soft"
1139,"0hard/-11025734soft"
1154,"0hard/-11020241soft"
1169,"0hard/-11009863soft"
1184,"0hard/-10999949soft"
1198,"0hard/-10988253soft"
1213,"0hard/-10976759soft"
1231,"0hard/-10965177soft"
1247,"0hard/-10951670soft"
1262,"0hard/-10943037soft"
1278,"0hard/-10929918soft"
1294,"0hard/-10910506soft"
1309,"0hard/-10900555soft"
1325,"0hard/-10895016soft"
1340,"0hard/-10887786soft"
1356,"0hard/-10884026soft"
1372,"0hard/-10869250soft"
1387,"0hard/-10860843soft"
1401,"0hard/-10855729soft"
1416,"0hard/-10845339soft"
1500,"0hard/-10841349soft"
1516,"0hard/-10837451soft"
1532,"0hard/-10825649soft"
1548,"0hard/-10808403soft"
1564,"0hard/-10803386soft"
1580,"0hard/-10801183soft"
1595,"0hard/-10794117soft"
1610,"0hard/-10791106soft"
1626,"0hard/-10782488soft"
1642,"0hard/-10775935soft"
1658,"0hard/-10755805soft"
1674,"0hard/-10748012soft"
1690,"0hard/-10744033soft"
1707,"0hard/-10733161soft"
1723,"0hard/-10724932soft"
1740,"0hard/-10719131soft"
1756,"0hard/-10715484soft"
1774,"0hard/-10700558soft"
1793,"0hard/-10694034soft"
1812,"0hard/-10685551soft"
1829,"0hard/-10675963soft"
1846,"0hard/-10668848soft"
1863,"0hard/-10664886soft"
1880,"0hard/-10656925soft"
1899,"0hard/-10646670soft"
1916,"0hard/-10636670soft"
1935,"0hard/-10633837soft"
1949,"0hard/-10623966soft"
1964,"0hard/-10616504soft"
1978,"0hard/-10607280soft"
1992,"0hard/-10597514soft"
2008,"0hard/-10588066soft"
2023,"0hard/-10577887soft"
2037,"0hard/-10573380soft"
2053,"0hard/-10569094soft"
2068,"0hard/-10559564soft"
2083,"0hard/-10554410soft"
2097,"0hard/-10546641soft"
2112,"0hard/-10536051soft"
2127,"0hard/-10529856soft"
2141,"0hard/-10520703soft"
2155,"0hard/-10511259soft"
2170,"0hard/-10502077soft"
2184,"0hard/-10496530soft"
2231,"0hard/-10489707soft"
2247,"0hard/-10484039soft"
2263,"0hard/-10478387soft"
2279,"0hard/-10468010soft"
2295,"0hard/-10463770soft"
2311,"0hard/-10456076soft"
2327,"0hard/-10450513soft"
2342,"0hard/-10446504soft"
2359,"0hard/-10439539soft"
2375,"0hard/-10434643soft"
2390,"0hard/-10427768soft"
2406,"0hard/-10422738soft"
2421,"0hard/-10418486soft"
2436,"0hard/-10411020soft"
2451,"0hard/-10407851soft"
2467,"0hard/-10400233soft"
2482,"0hard/-10392196soft"
2498,"0hard/-10390637soft"
2514,"0hard/-10388161soft"
2529,"0hard/-10375691soft"
