"timeMillisSpent","score"
168,"0.0hard/-21838763.990940098792soft"
201,"0.0hard/-21829101.346223625352soft"
244,"0.0hard/-21822547.140551657142soft"
287,"0.0hard/-21754541.646854951182soft"
332,"0.0hard/-21742311.580256112586soft"
353,"0.0hard/-21734796.251959199806soft"
369,"0.0hard/-21730806.622411764426soft"
398,"0.0hard/-21672854.043449579456soft"
418,"0.0hard/-21670415.627675256106soft"
439,"0.0hard/-21665284.267814679786soft"
472,"0.0hard/-21586188.102149552616soft"
527,"0.0hard/-21582313.160349803606soft"
561,"0.0hard/-21580445.941407530816soft"
601,"0.0hard/-21576298.499014151922soft"
635,"0.0hard/-21507394.846823340832soft"
667,"0.0hard/-21501368.065686426072soft"
704,"0.0hard/-21499757.900738171582soft"
718,"0.0hard/-21498316.090230610256soft"
736,"0.0hard/-21492750.194231411436soft"
751,"0.0hard/-21486534.834927427926soft"
768,"0.0hard/-21484762.887510749376soft"
793,"0.0hard/-21483327.967510066146soft"
838,"0.0hard/-21477022.177980550532soft"
860,"0.0hard/-21475698.340702209702soft"
891,"0.0hard/-21473991.199835649337soft"
913,"0.0hard/-21472688.239120594127soft"
934,"0.0hard/-21471584.935953757232soft"
956,"0.0hard/-21431778.783518197312soft"
977,"0.0hard/-21429702.534427444552soft"
997,"0.0hard/-21428275.486035804012soft"
1015,"0.0hard/-21427158.059939283446soft"
1029,"0.0hard/-21425954.257834352770soft"
1043,"0.0hard/-21424922.111749061405soft"
1058,"0.0hard/-21423619.309741202205soft"
1072,"0.0hard/-21422299.418160533645soft"
1085,"0.0hard/-21421574.096253857275soft"
1104,"0.0hard/-21382156.655321389721soft"
1118,"0.0hard/-21381362.627881906611soft"
1152,"0.0hard/-21380742.148719503071soft"
1180,"0.0hard/-21380285.077449924051soft"
1219,"0.0hard/-21379734.645325496131soft"
1256,"0.0hard/-21379376.503738361731soft"
1280,"0.0hard/-21378852.474186752685soft"
1298,"0.0hard/-21378073.183109075159soft"
1316,"0.0hard/-21377558.500518063509soft"
1337,"0.0hard/-21377188.370176243419soft"
1361,"0.0hard/-21372590.691079509435soft"
1383,"0.0hard/-21372279.552387385505soft"
