"timeMillisSpent","score"
30,"0hard/-5716695soft"
64,"0hard/-5716497soft"
89,"0hard/-5623813soft"
111,"0hard/-5623772soft"
130,"0hard/-5590822soft"
174,"0hard/-5590818soft"
191,"0hard/-5575328soft"
210,"0hard/-5575283soft"
232,"0hard/-5542333soft"
254,"0hard/-5542282soft"
274,"0hard/-5542267soft"
293,"0hard/-5504660soft"
311,"0hard/-5503815soft"
332,"0hard/-5503809soft"
345,"0hard/-5503807soft"
359,"0hard/-5503806soft"
370,"0hard/-5470856soft"
381,"0hard/-5470835soft"
392,"0hard/-5450687soft"
455,"0hard/-5450682soft"
484,"0hard/-5450679soft"
549,"0hard/-5450549soft"
566,"0hard/-5450542soft"
585,"0hard/-5450535soft"
619,"0hard/-5450520soft"
631,"0hard/-5450513soft"
643,"0hard/-5450512soft"
683,"0hard/-5450279soft"
708,"0hard/-5390560soft"
721,"0hard/-5350984soft"
732,"0hard/-5350983soft"
744,"0hard/-5350976soft"
761,"0hard/-5330828soft"
819,"0hard/-5330299soft"
831,"0hard/-5330289soft"
861,"0hard/-5330241soft"
887,"0hard/-5330231soft"
9723,"0hard/-5291671soft"
9734,"0hard/-5291656soft"
9744,"0hard/-5291342soft"
10349,"0hard/-5290962soft"
10359,"0hard/-5290914soft"
10453,"0hard/-5273103soft"
10462,"0hard/-5257542soft"
10472,"0hard/-5197378soft"
10482,"0hard/-5137122soft"
10492,"0hard/-5076963soft"
10501,"0hard/-5017032soft"
10511,"0hard/-5009501soft"
10521,"0hard/-4976807soft"
10530,"0hard/-4944243soft"
10540,"0hard/-4920570soft"
10550,"0hard/-4860939soft"
10559,"0hard/-4831918soft"
10568,"0hard/-4799058soft"
10578,"0hard/-4739284soft"
10588,"0hard/-4706705soft"
10597,"0hard/-4679342soft"
10607,"0hard/-4667309soft"
10616,"0hard/-4608113soft"
10626,"0hard/-4562886soft"
10635,"0hard/-4535590soft"
10645,"0hard/-4528386soft"
10655,"0hard/-4524893soft"
10664,"0hard/-4523117soft"
10674,"0hard/-4521121soft"
10683,"0hard/-4519947soft"
10694,"0hard/-4513899soft"
10704,"0hard/-4508493soft"
10715,"0hard/-4506083soft"
10725,"0hard/-4505667soft"
10735,"0hard/-4488529soft"
10745,"0hard/-4488180soft"
10755,"0hard/-4488137soft"
10791,"0hard/-4488100soft"
10802,"0hard/-4484652soft"
10813,"0hard/-4484645soft"
10826,"0hard/-4484546soft"
10840,"0hard/-4484354soft"
10853,"0hard/-4467721soft"
10865,"0hard/-4452226soft"
10875,"0hard/-4451944soft"
10885,"0hard/-4426551soft"
10896,"0hard/-4366990soft"
10906,"0hard/-4334601soft"
10916,"0hard/-4307299soft"
10927,"0hard/-4290717soft"
10936,"0hard/-4284005soft"
10946,"0hard/-4208245soft"
10956,"0hard/-4175876soft"
10965,"0hard/-4173376soft"
10976,"0hard/-4172150soft"
10986,"0hard/-4112641soft"
10996,"0hard/-4080268soft"
11006,"0hard/-4080204soft"
11016,"0hard/-4079942soft"
11026,"0hard/-4047577soft"
11036,"0hard/-4047427soft"
11047,"0hard/-4015083soft"
11057,"0hard/-4015070soft"
11068,"0hard/-4014451soft"
11078,"0hard/-4014233soft"
11088,"0hard/-3981915soft"
11119,"0hard/-3981898soft"
11140,"0hard/-3981871soft"
11151,"0hard/-3970063soft"
11161,"0hard/-3969256soft"
11191,"0hard/-3969092soft"
13338,"0hard/-3966724soft"
13348,"0hard/-3966420soft"
13359,"0hard/-3961694soft"
13369,"0hard/-3927193soft"
13379,"0hard/-3927075soft"
13390,"0hard/-3926965soft"
13401,"0hard/-3914975soft"
13412,"0hard/-3914863soft"
13423,"0hard/-3914773soft"
13435,"0hard/-3914757soft"
13466,"0hard/-3914426soft"
13478,"0hard/-3914405soft"
13489,"0hard/-3914392soft"
13557,"0hard/-3914372soft"
13579,"0hard/-3914344soft"
15097,"0hard/-3914284soft"
15150,"0hard/-3914172soft"
15199,"0hard/-3914155soft"
20254,"0hard/-3913634soft"
20267,"0hard/-3913631soft"
20278,"0hard/-3913513soft"
20295,"0hard/-3913478soft"
39907,"0hard/-3895286soft"
39918,"0hard/-3895196soft"
39929,"0hard/-3895038soft"
39940,"0hard/-3895006soft"
39951,"0hard/-3894914soft"
39961,"0hard/-3894875soft"
39979,"0hard/-3894796soft"
39995,"0hard/-3894721soft"
40010,"0hard/-3894704soft"
40152,"0hard/-3894662soft"
40170,"0hard/-3894544soft"
40209,"0hard/-3894540soft"
40226,"0hard/-3894527soft"
40243,"0hard/-3894524soft"
50607,"0hard/-3894458soft"
56393,"0hard/-3894375soft"
56410,"0hard/-3894340soft"
56427,"0hard/-3894323soft"
56445,"0hard/-3894320soft"
56485,"0hard/-3894234soft"
