"timeMillisSpent","score"
31215,"0.0hard/-12251500.833559149318582soft"
31245,"0.0hard/-12250562.991360701377982soft"
31266,"0.0hard/-12248023.242806815713682soft"
31279,"0.0hard/-12243017.106223660233182soft"
31773,"0.0hard/-12241907.980062110368682soft"
33297,"0.0hard/-12241019.817792581254682soft"
34232,"0.0hard/-12239748.473044992381962soft"
34544,"0.0hard/-12237564.230289147608662soft"
34927,"0.0hard/-12235272.599970899286202soft"
35815,"0.0hard/-12233799.165587857837662soft"
40301,"0.0hard/-12233053.774573410505932soft"
42027,"0.0hard/-12232609.141774359402162soft"
44243,"0.0hard/-12231801.754209486830282soft"
44424,"0.0hard/-12228726.952335326172422soft"
46057,"0.0hard/-12223471.910409761064562soft"
47490,"0.0hard/-12219624.984655135898782soft"
52678,"0.0hard/-12217791.875014757147162soft"
57125,"0.0hard/-12217350.827313614590792soft"
57127,"0.0hard/-12216553.906066354622992soft"
60031,"0.0hard/-12213974.191689807115322soft"
60048,"0.0hard/-12211869.725884701614222soft"
69737,"0.0hard/-12208704.069390184319200soft"
79120,"0.0hard/-12202036.187677398625670soft"
81860,"0.0hard/-12201489.641783782635210soft"
86646,"0.0hard/-12200229.108363464221990soft"
92835,"0.0hard/-12197957.526905417029430soft"
92836,"0.0hard/-12192028.325067069717430soft"
100504,"0.0hard/-12189289.663408648472220soft"
101020,"0.0hard/-12186732.718487166186720soft"
108378,"0.0hard/-12186495.983788680558080soft"
108783,"0.0hard/-12183737.065942473217280soft"
113937,"0.0hard/-12178043.536162016935480soft"
118497,"0.0hard/-12174350.979202211748260soft"
121323,"0.0hard/-12170634.444804698932040soft"
126354,"0.0hard/-12170102.955571926343990soft"
132656,"0.0hard/-12166829.825294516861540soft"
134641,"0.0hard/-12163292.048964494549420soft"
142232,"0.0hard/-12162055.190829839534820soft"
142792,"0.0hard/-12160546.756446589364920soft"
151364,"0.0hard/-12158853.720024511665870soft"
154629,"0.0hard/-12155186.197590126449970soft"
163320,"0.0hard/-12153892.330722882132430soft"
167991,"0.0hard/-12153296.533740116984080soft"
172185,"0.0hard/-12150463.667194793906540soft"
175866,"0.0hard/-12149225.072048538667200soft"
178329,"0.0hard/-12148715.745434397428240soft"
178373,"0.0hard/-12148070.330661336836940soft"
179945,"0.0hard/-12146609.244198092093130soft"
