"timeMillisSpent","score"
4320,"0hard/-8153845soft"
4326,"0hard/-8153434soft"
4381,"0hard/-8153153soft"
4431,"0hard/-8148598soft"
4452,"0hard/-8144486soft"
4495,"0hard/-8117983soft"
6065,"0hard/-8117669soft"
6908,"0hard/-8090306soft"
6909,"0hard/-8090036soft"
7439,"0hard/-8088088soft"
18268,"0hard/-8070929soft"
40601,"0hard/-8069598soft"
47890,"0hard/-8069423soft"
47897,"0hard/-8049389soft"
55050,"0hard/-8043050soft"
79756,"0hard/-8040907soft"
83952,"0hard/-8040245soft"
84020,"0hard/-8037943soft"
88083,"0hard/-8026374soft"
93974,"0hard/-8021549soft"
95854,"0hard/-8020702soft"
95856,"0hard/-8014106soft"
104617,"0hard/-8013012soft"
104624,"0hard/-8010491soft"
110476,"0hard/-8006455soft"
110999,"0hard/-8003120soft"
112158,"0hard/-7999792soft"
112408,"0hard/-7996373soft"
