"timeMillisSpent","score"
4240,"0hard/-8153845soft"
4246,"0hard/-8153434soft"
4297,"0hard/-8153153soft"
4356,"0hard/-8148598soft"
4375,"0hard/-8144486soft"
4406,"0hard/-8117983soft"
5899,"0hard/-8117669soft"
6646,"0hard/-8090306soft"
6648,"0hard/-8090036soft"
7082,"0hard/-8088088soft"
17279,"0hard/-8070929soft"
36856,"0hard/-8069598soft"
43391,"0hard/-8069423soft"
43396,"0hard/-8049389soft"
50165,"0hard/-8043050soft"
71646,"0hard/-8040907soft"
74975,"0hard/-8040245soft"
75028,"0hard/-8037943soft"
78073,"0hard/-8026374soft"
83491,"0hard/-8021549soft"
85195,"0hard/-8020702soft"
85198,"0hard/-8014106soft"
92599,"0hard/-8013012soft"
92605,"0hard/-8010491soft"
98717,"0hard/-8006455soft"
99181,"0hard/-8003120soft"
100378,"0hard/-7999792soft"
100680,"0hard/-7996373soft"
110443,"0hard/-7984055soft"
110446,"0hard/-7975450soft"
